RunID,BatchID,Model,Temp,Batch_Size,Run_Time,Max_Tok,Prompt_Stem,Dialog,N_shots,C_1,C_2,C_3,C_4,C_5,C_6,Holistic Acc,Avg hit Conf,Std Dev Conf,Precision,Recall,F1,Notes
1dc4352d-d20d-41b1-a1d2-a34576474e51,acc4c2f8-b0e0-46ea-81fe-7e8c6a091663,gpt-3.5-turbo,0.3,10,69,Undefined,API_PT_Revised.txt,diode,0,0.8,0.8,NA,NA,NA,NA,0.8,0.7562500000000000,0.14128318194321600,1.0,0.5,0.666,NA
4392f9ae-0971-4d46-ac57-cbb5d94a5e90,acc4c2f8-b0e0-46ea-81fe-7e8c6a091663,gpt-3.5-turbo,0.3,10,60,Undefined,API_PT_Revised.txt,diode,5,0.9,0.9,NA,NA,NA,NA,0.9,0.7111111111111110,0.15595187608464700,0.875,0.875,0.875,NA
5cc9aa10-2835-4bd5-8d31-59a9fff157f4,acc4c2f8-b0e0-46ea-81fe-7e8c6a091663,gpt-3.5-turbo,0.3,10,59,Undefined,API_PT_Revised.txt,diode,10,0.9,1.0,NA,NA,NA,NA,0.95,0.7263157894736840,0.15163010832513600,0.888,1.0,0.941,NA
6ec0304f-e178-4d6c-a838-3350dcc89307,acc4c2f8-b0e0-46ea-81fe-7e8c6a091663,gpt-3.5-turbo,0.3,10,61,Undefined,API_PT_Revised.txt,diode,15,0.9,0.9,NA,NA,NA,NA,0.9,0.7222222222222220,0.1617802197617890,0.875,0.875,0.875,NA
e3d65802-6bcf-4329-8e6f-09fd828f75e1,acc4c2f8-b0e0-46ea-81fe-7e8c6a091663,gpt-3.5-turbo,0.3,10,58,Undefined,API_PT_Revised.txt,diode,20,0.9,1.0,NA,NA,NA,NA,0.95,0.7368421052631580,0.14585691011106300,0.888,1.0,0.941,NA
48d87b06-a2b6-4f2d-9f98-274fe2bc105b,acc4c2f8-b0e0-46ea-81fe-7e8c6a091663,gpt-3.5-turbo,0.3,10,60,Undefined,API_PT_Revised.txt,diode,25,0.9,0.9,NA,NA,NA,NA,0.9,0.7277777777777780,0.14834477692020800,0.875,0.875,0.875,NA
1a1f6aea-0927-4924-aeda-96e250720e31,64e5502c-5e00-4e40-be6e-18742368edcf,gpt-3.5-turbo,0.3,10,60,Undefined,API_PT_Revised.txt,diode,0,0.8,0.9,NA,NA,NA,NA,0.8500000000000000,0.7117647058823530,0.19061002054140800,1.0,0.625,0.769,NA
161c30de-a159-461f-ac1c-f56d84fcd3f0,64e5502c-5e00-4e40-be6e-18742368edcf,gpt-3.5-turbo,0.3,10,57,Undefined,API_PT_Revised.txt,diode,5,0.9,1.0,NA,NA,NA,NA,0.95,0.7736842105263160,0.12499307460039900,1.0,0.875,0.933,NA
055e5b64-997a-4b37-8cee-cb874a60cabf,64e5502c-5e00-4e40-be6e-18742368edcf,gpt-3.5-turbo,0.3,10,88,Undefined,API_PT_Revised.txt,diode,10,0.9,1.0,NA,NA,NA,NA,0.95,0.7526315789473680,0.1787925026469790,1.0,0.875,0.933,NA
65fdcca5-7b3d-419a-8f9e-e82fbb4e34dc,64e5502c-5e00-4e40-be6e-18742368edcf,gpt-3.5-turbo,0.3,10,54,Undefined,API_PT_Revised.txt,diode,15,0.9,1.0,NA,NA,NA,NA,0.95,0.7894736842105260,0.13335641536126200,1.0,0.875,0.933,NA
70d926e9-1435-4667-9e17-d1106b034f87,64e5502c-5e00-4e40-be6e-18742368edcf,gpt-3.5-turbo,0.3,10,55,Undefined,API_PT_Revised.txt,diode,20,0.9,0.9,NA,NA,NA,NA,0.9,0.75,0.1922093765778470,1.0,0.75,0.857,NA
